,Away Fouls,Home - Away Fouls,Home Fouls,Season
0,6821.0,-169.0,6652.0,2009/10
1,6015.0,-267.0,5748.0,2010/11
2,5843.0,-106.0,5737.0,2011/12
3,5840.0,-77.0,5763.0,2012/13
4,5663.0,-102.0,5561.0,2013/14
5,5892.0,-258.0,5634.0,2014/15
6,5802.0,-54.0,5748.0,2015/16
7,5300.0,12.0,5312.0,2016/17
8,4868.0,-26.0,4842.0,2017/18
9,5036.0,-155.0,4881.0,2018/19
